verb,match
camera_reaction,response to novel object
tool_use,object play
object_carrying,object play
bipedal,standing up
feeding,chewing
chimcarrying,offspring retrieval
vocalisation,vocalization behavior
climbing,climbing behavior
aggression,aggressive behavior
travel,locomotory behavior
sex,copulation
piloerection,threatening predator behavior
social_interaction,social behavior
grooming,grooming behavior
display,visual communication behavior
cross_species_interaction,social behavior
resting,resting posture
